restaurant_id,restaurant_name,tier,honest_merchant,day_of_week,hour_of_day,order_time,actual_ready_time,for_button_time,rider_arrival_time,pos_ticket_cleared_time,base_kpt_minutes,true_kpt_minutes,hidden_load,rider_present_at_press,merchant_bias_offset_min,naive_kpt_estimate,acceptance_latency_seconds,zomato_concurrent_orders,local_foot_traffic_index,competitor_platform_orders,actual_rider_wait_minutes,naive_kpt_error
R000,Spice Junction,T3,False,5,8,2025-01-04 08:11:17,2025-01-04 08:41:06.740000000,2025-01-04 08:41:54.447840,2025-01-04 08:36:23.239210,2025-01-04 08:39:13.776434,18,29.829,7.469,True,12.49,25.104,49.7,0,100.0,5,4.725,4.725
R000,Spice Junction,T3,False,5,9,2025-01-04 09:06:42,2025-01-04 09:29:05.580000000,2025-01-04 09:37:48.167224,2025-01-04 09:36:38.167224,2025-01-04 09:35:15.889841,18,22.393,3.112,False,12.49,29.936,39.27,0,85.77,2,0.0,7.543
R000,Spice Junction,T3,False,5,10,2025-01-04 10:12:34,2025-01-04 10:33:43.420000000,2025-01-04 10:40:27.432888,2025-01-04 10:39:15.432888,2025-01-04 10:30:54.307101,18,21.157,2.292,False,12.49,26.691,33.56,0,64.31,2,0.0,5.534
R000,Spice Junction,T3,False,5,10,2025-01-04 10:59:04,2025-01-04 11:18:41.140000000,2025-01-04 11:30:43.251123,2025-01-04 11:29:32.251123,2025-01-04 11:20:34.329668,18,19.619,1.725,False,12.49,30.471,24.64,0,63.49,1,0.0,10.852
R000,Spice Junction,T3,False,5,12,2025-01-04 12:26:29,2025-01-04 12:49:56.420000000,2025-01-04 12:58:42.109522,2025-01-04 12:58:21.109522,2025-01-04 12:52:28.267486,18,23.457,3.12,False,12.49,31.868,28.14,0,100.0,2,0.0,8.411
R000,Spice Junction,T3,False,5,13,2025-01-04 13:21:51,2025-01-04 13:46:27.660000000,2025-01-04 13:52:51.696604,2025-01-04 13:52:23.696604,2025-01-04 13:44:58.340099,18,24.611,4.498,False,12.49,30.545,44.33,0,100.0,1,0.0,5.934
R000,Spice Junction,T3,False,5,18,2025-01-04 18:41:06,2025-01-04 19:04:06.060000000,2025-01-04 19:07:02.671766,2025-01-04 19:06:40.671766,2025-01-04 19:06:58.771729,18,23.001,3.695,True,12.49,25.578,40.03,0,100.0,1,0.0,2.577
R000,Spice Junction,T3,False,5,20,2025-01-04 20:54:35,2025-01-04 21:18:35.300000000,2025-01-04 21:25:25.716386,2025-01-04 21:24:58.716386,2025-01-04 21:18:43.462514,18,24.005,4.148,False,12.49,30.395,37.05,0,100.0,4,0.0,6.39
R000,Spice Junction,T3,False,6,18,2025-01-05 18:34:53,2025-01-05 18:52:23.900000000,2025-01-05 19:03:53.904129,2025-01-05 19:03:37.904129,2025-01-05 18:57:10.240050,18,17.515,0.382,False,12.49,28.748,25.89,0,97.16,2,0.0,11.233
R000,Spice Junction,T3,False,6,22,2025-01-05 22:59:48,2025-01-05 23:28:36.900000000,2025-01-05 23:29:55.867368,2025-01-05 23:29:10.867368,2025-01-05 23:28:20.607291,18,28.815,7.81,True,12.49,29.381,52.53,0,77.19,9,0.0,0.566
R000,Spice Junction,T3,False,0,11,2025-01-06 11:44:46,2025-01-06 12:12:45.040000000,2025-01-06 12:18:13.715324,2025-01-06 12:16:47.715324,2025-01-06 12:16:38.599018,18,27.984,6.778,True,12.49,32.029,51.26,0,54.65,6,0.0,4.045
R000,Spice Junction,T3,False,0,13,2025-01-06 13:30:13,2025-01-06 13:57:10.000000000,2025-01-06 14:02:24.430392,2025-01-06 14:01:18.430392,2025-01-06 14:00:09.877189,18,26.95,6.015,True,12.49,31.091,45.22,0,99.11,1,0.0,4.141
R000,Spice Junction,T3,False,0,21,2025-01-06 21:10:24,2025-01-06 21:38:18.960000000,2025-01-06 21:39:10.254579,2025-01-06 21:38:55.254579,2025-01-06 21:33:30.027949,18,27.916,6.33,False,12.49,28.521,42.65,0,95.0,4,0.0,0.605
R000,Spice Junction,T3,False,0,23,2025-01-06 23:16:59,2025-01-06 23:38:35.480000000,2025-01-06 23:45:58.977413,2025-01-06 23:44:45.977413,2025-01-06 23:36:37.830925,18,21.608,2.16,False,12.49,27.783,36.44,0,31.88,0,0.0,6.175
R000,Spice Junction,T3,False,1,6,2025-01-07 06:20:03,2025-01-07 06:46:31.620000000,2025-01-07 06:45:49.212040,2025-01-07 06:45:28.212040,2025-01-07 06:47:55.660386,18,26.477,5.687,True,12.49,25.42,41.56,0,29.03,2,1.057,1.057
R000,Spice Junction,T3,False,1,7,2025-01-07 07:04:43,2025-01-07 07:27:59.140000000,2025-01-07 07:29:20.593453,2025-01-07 07:28:35.593453,2025-01-07 07:26:59.258634,18,23.269,3.294,True,12.49,23.877,39.58,0,68.82,3,0.0,0.608
R000,Spice Junction,T3,False,1,8,2025-01-07 08:32:05,2025-01-07 08:51:32.180000000,2025-01-07 09:07:12.399539,2025-01-07 09:06:34.399539,2025-01-07 08:53:10.077845,18,19.453,1.069,False,12.49,34.49,26.3,0,86.38,1,0.0,15.037
R000,Spice Junction,T3,False,1,9,2025-01-07 09:03:37,2025-01-07 09:25:01.240000000,2025-01-07 09:36:00.007254,2025-01-07 09:34:36.007254,2025-01-07 09:22:54.687453,18,21.404,2.636,False,12.49,30.983,36.87,0,78.17,0,0.0,9.579
R000,Spice Junction,T3,False,1,10,2025-01-07 10:25:08,2025-01-07 10:49:24.320000000,2025-01-07 10:56:46.296207,2025-01-07 10:55:53.296207,2025-01-07 10:47:34.960241,18,24.272,3.898,False,12.49,30.755,34.24,0,56.17,4,0.0,6.483
R000,Spice Junction,T3,False,1,12,2025-01-07 12:16:13,2025-01-07 12:46:45.940000000,2025-01-07 12:47:54.772615,2025-01-07 12:43:49.012697,2025-01-07 12:47:00.865801,18,30.549,9.106,True,12.49,27.6,57.73,0,100.0,5,2.949,2.949
R000,Spice Junction,T3,False,1,13,2025-01-07 13:37:36,2025-01-07 14:06:59.220000000,2025-01-07 14:09:41.024278,2025-01-07 14:04:26.680806,2025-01-07 14:06:30.172969,18,29.387,7.754,True,12.49,26.845,42.08,0,100.0,6,2.542,2.542
R000,Spice Junction,T3,False,1,13,2025-01-07 13:56:36,2025-01-07 14:23:15.840000000,2025-01-07 14:25:42.925317,2025-01-07 14:24:56.925317,2025-01-07 14:25:00.178136,18,26.664,6.142,True,12.49,28.349,42.14,0,100.0,3,0.0,1.685
R000,Spice Junction,T3,False,1,13,2025-01-07 13:59:48,2025-01-07 14:22:45.540000000,2025-01-07 14:31:49.938438,2025-01-07 14:31:25.938438,2025-01-07 14:21:41.180111,18,22.959,2.416,False,12.49,31.632,23.68,1,100.0,0,0.0,8.673
R000,Spice Junction,T3,False,1,16,2025-01-07 16:02:39,2025-01-07 16:21:53.760000000,2025-01-07 16:34:04.001664,2025-01-07 16:33:39.001664,2025-01-07 16:21:36.919925,18,19.246,0.756,False,12.49,31.0,30.28,0,49.52,0,0.0,11.754
R000,Spice Junction,T3,False,1,17,2025-01-07 17:32:58,2025-01-07 17:49:59.260000000,2025-01-07 17:57:57.955764,2025-01-07 17:56:35.955764,2025-01-07 17:53:04.261868,18,17.021,0.0,False,12.49,23.633,13.5,0,64.88,0,0.0,6.612
R000,Spice Junction,T3,False,1,19,2025-01-07 19:09:12,2025-01-07 19:34:35.460000000,2025-01-07 19:34:30.830146,2025-01-07 19:33:38.830146,2025-01-07 19:35:55.034752,18,25.391,4.743,True,12.49,24.447,35.11,0,100.0,3,0.944,0.944
R000,Spice Junction,T3,False,2,13,2025-01-08 13:36:06,2025-01-08 14:03:05.940000000,2025-01-08 14:09:32.764727,2025-01-08 14:09:08.764727,2025-01-08 14:00:05.953977,18,26.999,5.982,False,12.49,33.046,42.38,0,100.0,6,0.0,6.047
R000,Spice Junction,T3,False,2,15,2025-01-08 15:32:16,2025-01-08 15:51:30.880000000,2025-01-08 16:02:48.066380,2025-01-08 16:02:17.066380,2025-01-08 15:54:06.356004,18,19.248,1.133,False,12.49,30.018,28.9,0,50.05,0,0.0,10.77
R000,Spice Junction,T3,False,3,0,2025-01-09 00:52:35,2025-01-09 01:11:57.920000000,2025-01-09 01:25:05.261732,2025-01-09 01:24:12.261732,2025-01-09 01:15:50.462570,18,19.382,1.136,False,12.49,31.621,33.62,0,22.36,0,0.0,12.239
R000,Spice Junction,T3,False,3,8,2025-01-09 08:18:38,2025-01-09 08:39:05.780000000,2025-01-09 08:45:11.598120,2025-01-09 08:44:30.598120,2025-01-09 08:39:14.880273,18,20.463,1.436,False,12.49,25.877,27.45,0,88.77,1,0.0,5.414
R000,Spice Junction,T3,False,3,11,2025-01-09 11:28:53,2025-01-09 11:54:08.480000000,2025-01-09 12:00:08.102973,2025-01-09 11:58:44.102973,2025-01-09 11:53:04.203555,18,25.258,4.542,False,12.49,29.852,38.61,0,48.21,2,0.0,4.594
R000,Spice Junction,T3,False,3,11,2025-01-09 11:56:06,2025-01-09 12:18:38.280000000,2025-01-09 12:27:59.494452,2025-01-09 12:26:34.494452,2025-01-09 12:21:48.327276,18,22.538,3.143,False,12.49,30.475,39.95,0,51.77,2,0.0,7.937
R000,Spice Junction,T3,False,3,19,2025-01-09 19:39:51,2025-01-09 20:08:29.400000000,2025-01-09 20:12:17.725646,2025-01-09 20:10:55.725646,2025-01-09 20:08:26.631634,18,28.64,6.915,False,12.49,31.079,50.03,0,100.0,6,0.0,2.439
R000,Spice Junction,T3,False,3,21,2025-01-09 21:06:56,2025-01-09 21:35:51.020000000,2025-01-09 21:36:30.194279,2025-01-09 21:32:09.941307,2025-01-09 21:33:15.282460,18,28.917,7.568,True,12.49,25.232,55.44,0,83.65,7,3.685,3.685
R000,Spice Junction,T3,False,3,21,2025-01-09 21:56:15,2025-01-09 22:28:11.100000000,2025-01-09 22:29:49.704842,2025-01-09 22:28:47.704842,2025-01-09 22:23:14.960279,18,31.935,8.72,False,12.49,32.545,53.37,0,89.81,7,0.0,0.61
R000,Spice Junction,T3,False,4,6,2025-01-10 06:21:49,2025-01-10 06:47:19.120000000,2025-01-10 06:51:22.113220,2025-01-10 06:50:51.113220,2025-01-10 06:47:55.555216,18,25.502,4.306,False,12.49,29.035,32.12,0,36.58,4,0.0,3.533
R000,Spice Junction,T3,False,4,7,2025-01-10 07:27:53,2025-01-10 07:45:41.120000000,2025-01-10 07:57:56.550053,2025-01-10 07:57:06.550053,2025-01-10 07:45:57.853046,18,17.802,0.344,False,12.49,29.226,31.61,0,66.02,0,0.0,11.424
R000,Spice Junction,T3,False,4,8,2025-01-10 08:56:44,2025-01-10 09:17:35.780000000,2025-01-10 09:25:54.270129,2025-01-10 09:25:20.270129,2025-01-10 09:15:14.628489,18,20.863,1.437,False,12.49,28.605,27.76,0,80.19,1,0.0,7.742
R000,Spice Junction,T3,False,4,9,2025-01-10 09:40:54,2025-01-10 09:59:34.320000000,2025-01-10 10:10:02.905700,2025-01-10 10:09:14.905700,2025-01-10 09:57:29.189780,18,18.672,0.0,False,12.49,28.348,19.72,0,71.43,2,0.0,9.676
R000,Spice Junction,T3,False,4,14,2025-01-10 14:16:57,2025-01-10 14:45:13.500000000,2025-01-10 14:44:36.679682,2025-01-10 14:41:34.331479,2025-01-10 14:45:03.873945,18,28.275,6.625,True,12.49,24.622,39.66,0,75.22,6,3.653,3.653
R000,Spice Junction,T3,False,4,16,2025-01-10 16:27:35,2025-01-10 16:44:15.200000000,2025-01-10 16:59:48.366846,2025-01-10 16:59:32.366846,2025-01-10 16:45:06.357310,18,16.67,0.0,False,12.49,31.956,24.91,0,46.54,1,0.0,15.286
R000,Spice Junction,T3,False,4,18,2025-01-10 18:16:10,2025-01-10 18:36:28.060000000,2025-01-10 18:41:38.569034,2025-01-10 18:40:27.569034,2025-01-10 18:36:30.611625,18,20.301,1.133,False,12.49,24.293,31.75,0,80.88,1,0.0,3.992
R000,Spice Junction,T3,False,5,2,2025-01-11 02:47:59,2025-01-11 03:07:02.780000000,2025-01-11 03:14:16.752606,2025-01-11 03:13:19.752606,2025-01-11 03:11:10.891090,18,19.063,0.663,False,12.49,25.346,13.08,0,7.42,1,0.0,6.283
R000,Spice Junction,T3,False,5,5,2025-01-11 05:23:37,2025-01-11 05:44:34.360000000,2025-01-11 05:54:52.350991,2025-01-11 05:53:27.350991,2025-01-11 05:41:45.132806,18,20.956,1.849,False,12.49,29.839,31.13,0,24.84,1,0.0,8.883
R000,Spice Junction,T3,False,5,8,2025-01-11 08:08:02,2025-01-11 08:27:32.900000000,2025-01-11 08:35:30.875139,2025-01-11 08:34:36.875139,2025-01-11 08:24:35.448416,18,19.515,1.107,False,12.49,26.581,21.63,0,100.0,1,0.0,7.066
R000,Spice Junction,T3,False,5,12,2025-01-11 12:59:50,2025-01-11 13:19:45.080000000,2025-01-11 13:28:53.520112,2025-01-11 13:28:33.520112,2025-01-11 13:21:35.278767,18,19.918,1.434,False,12.49,28.725,28.31,0,100.0,0,0.0,8.807
R000,Spice Junction,T3,False,5,18,2025-01-11 18:22:49,2025-01-11 18:40:25.900000000,2025-01-11 18:50:24.009623,2025-01-11 18:48:58.009623,2025-01-11 18:43:58.344335,18,17.615,0.0,False,12.49,26.15,20.14,0,97.1,0,0.0,8.535
R000,Spice Junction,T3,False,5,20,2025-01-11 20:26:51,2025-01-11 20:52:45.660000000,2025-01-11 20:55:05.483515,2025-01-11 20:54:19.483515,2025-01-11 20:51:42.952765,18,25.911,5.277,False,12.49,27.475,37.98,0,100.0,3,0.0,1.564
R000,Spice Junction,T3,False,5,21,2025-01-11 21:13:43,2025-01-11 21:38:19.420000000,2025-01-11 21:41:44.108025,2025-01-11 21:40:58.108025,2025-01-11 21:43:13.659094,18,24.607,4.527,True,12.49,27.252,31.97,0,100.0,2,0.0,2.645
R000,Spice Junction,T3,False,5,21,2025-01-11 21:15:55,2025-01-11 21:42:23.140000000,2025-01-11 21:44:14.581613,2025-01-11 21:43:39.581613,2025-01-11 21:40:46.376572,18,26.469,4.691,False,12.49,27.743,39.86,1,100.0,5,0.0,1.274
R000,Spice Junction,T3,False,5,21,2025-01-11 21:26:39,2025-01-11 22:00:23.640000000,2025-01-11 21:53:52.472087,2025-01-11 21:53:14.624123,2025-01-11 21:53:01.650626,18,33.744,9.048,True,12.49,26.594,51.67,2,100.0,5,7.15,7.15
R000,Spice Junction,T3,False,5,22,2025-01-11 22:51:11,2025-01-11 23:15:27.740000000,2025-01-11 23:26:51.349411,2025-01-11 23:25:44.349411,2025-01-11 23:14:53.643738,18,24.279,4.252,False,12.49,34.556,42.08,0,80.74,3,0.0,10.277
R000,Spice Junction,T3,False,6,8,2025-01-12 08:44:06,2025-01-12 09:03:07.860000000,2025-01-12 09:15:28.896330,2025-01-12 09:14:25.896330,2025-01-12 08:58:19.896607,18,19.031,0.91,False,12.49,30.332,25.59,0,100.0,1,0.0,11.301
R000,Spice Junction,T3,False,6,9,2025-01-12 09:42:12,2025-01-12 10:02:16.800000000,2025-01-12 10:13:49.237664,2025-01-12 10:12:43.237664,2025-01-12 10:01:55.868367,18,20.08,1.185,False,12.49,30.521,30.27,0,83.78,4,0.0,10.441
R000,Spice Junction,T3,False,6,9,2025-01-12 09:58:29,2025-01-12 10:17:55.460000000,2025-01-12 10:25:34.892991,2025-01-12 10:24:35.892991,2025-01-12 10:11:57.454939,18,19.441,0.477,False,12.49,26.115,23.3,0,85.1,0,0.0,6.674
R000,Spice Junction,T3,False,6,12,2025-01-12 12:50:55,2025-01-12 13:12:26.440000000,2025-01-12 13:17:25.328741,2025-01-12 13:16:41.328741,2025-01-12 13:19:06.896030,18,21.524,2.951,True,12.49,25.772,33.14,0,100.0,2,0.0,4.248
R000,Spice Junction,T3,False,6,12,2025-01-12 12:55:04,2025-01-12 13:17:10.480000000,2025-01-12 13:24:56.659393,2025-01-12 13:24:06.659393,2025-01-12 13:15:25.364705,18,22.108,2.46,False,12.49,29.044,30.29,1,100.0,1,0.0,6.936
R000,Spice Junction,T3,False,6,21,2025-01-12 21:54:30,2025-01-12 22:18:53.760000000,2025-01-12 22:25:09.447491,2025-01-12 22:24:26.447491,2025-01-12 22:21:19.668884,18,24.396,4.552,False,12.49,29.941,39.25,0,100.0,5,0.0,5.545
R000,Spice Junction,T3,False,0,9,2025-01-13 09:16:02,2025-01-13 09:35:17.780000000,2025-01-13 09:43:00.668256,2025-01-13 09:42:32.668256,2025-01-13 09:36:09.635973,18,19.263,0.0,False,12.49,26.511,12.1,0,68.72,1,0.0,7.248
R000,Spice Junction,T3,False,0,12,2025-01-13 12:01:07,2025-01-13 12:21:42.940000000,2025-01-13 12:29:51.669502,2025-01-13 12:29:03.669502,2025-01-13 12:21:50.323198,18,20.599,1.584,False,12.49,27.944,31.07,0,100.0,0,0.0,7.345
R000,Spice Junction,T3,False,0,13,2025-01-13 13:32:07,2025-01-13 13:58:07.300000000,2025-01-13 14:04:55.299058,2025-01-13 14:03:51.299058,2025-01-13 13:59:03.443195,18,26.005,5.199,False,12.49,31.738,45.63,0,100.0,4,0.0,5.733
R000,Spice Junction,T3,False,0,17,2025-01-13 17:22:46,2025-01-13 17:46:22.960000000,2025-01-13 17:50:05.477609,2025-01-13 17:49:10.477609,2025-01-13 17:46:52.975895,18,23.616,3.785,False,12.49,26.408,36.57,0,61.11,1,0.0,2.792
R000,Spice Junction,T3,False,0,18,2025-01-13 18:25:43,2025-01-13 18:46:49.540000000,2025-01-13 18:57:11.449278,2025-01-13 18:55:48.449278,2025-01-13 18:45:23.414245,18,21.109,2.227,False,12.49,30.091,27.32,0,84.28,3,0.0,8.982
R000,Spice Junction,T3,False,0,19,2025-01-13 19:00:33,2025-01-13 19:25:44.160000000,2025-01-13 19:29:10.303134,2025-01-13 19:27:47.303134,2025-01-13 19:26:49.296456,18,25.186,5.111,False,12.49,27.238,45.26,0,100.0,6,0.0,2.052
R000,Spice Junction,T3,False,0,21,2025-01-13 21:12:16,2025-01-13 21:36:17.440000000,2025-01-13 21:44:59.665697,2025-01-13 21:44:39.665697,2025-01-13 21:33:50.232143,18,24.024,3.817,False,12.49,32.394,37.28,0,97.36,5,0.0,8.37
R000,Spice Junction,T3,False,1,12,2025-01-14 12:04:42,2025-01-14 12:25:23.160000000,2025-01-14 12:40:52.735738,2025-01-14 12:39:55.735738,2025-01-14 12:25:09.436551,18,20.686,1.351,False,12.49,35.229,24.39,0,100.0,2,0.0,14.543
R000,Spice Junction,T3,False,1,12,2025-01-14 12:13:27,2025-01-14 12:40:44.280000000,2025-01-14 12:49:58.689026,2025-01-14 12:48:29.689026,2025-01-14 12:42:29.904875,18,27.288,5.77,False,12.49,35.045,37.55,1,100.0,0,0.0,7.757
R000,Spice Junction,T3,False,1,12,2025-01-14 12:35:53,2025-01-14 13:02:05.420000000,2025-01-14 13:05:08.938397,2025-01-14 13:04:53.938397,2025-01-14 13:02:36.903267,18,26.207,5.671,False,12.49,29.016,39.3,0,100.0,4,0.0,2.809
R000,Spice Junction,T3,False,1,13,2025-01-14 13:13:32,2025-01-14 13:41:31.400000000,2025-01-14 13:42:29.916354,2025-01-14 13:41:14.916354,2025-01-14 13:41:06.474056,18,27.99,7.666,True,12.49,27.715,50.32,0,100.0,4,0.275,0.275
R000,Spice Junction,T3,False,1,16,2025-01-14 16:12:26,2025-01-14 16:30:44.780000000,2025-01-14 16:41:27.089725,2025-01-14 16:40:24.089725,2025-01-14 16:27:44.929539,18,18.313,0.363,False,12.49,27.968,15.83,0,46.58,0,0.0,9.655
R000,Spice Junction,T3,False,1,17,2025-01-14 17:20:29,2025-01-14 17:38:06.320000000,2025-01-14 17:50:47.755270,2025-01-14 17:49:36.755270,2025-01-14 17:35:44.762682,18,17.622,0.0,False,12.49,29.129,21.45,0,57.51,1,0.0,11.507
R000,Spice Junction,T3,False,1,17,2025-01-14 17:42:54,2025-01-14 18:04:14.280000000,2025-01-14 18:12:38.736590,2025-01-14 18:12:08.736590,2025-01-14 18:03:25.358922,18,21.338,2.434,False,12.49,29.246,24.04,0,67.7,2,0.0,7.908
R000,Spice Junction,T3,False,1,18,2025-01-14 18:20:25,2025-01-14 18:44:34.660000000,2025-01-14 18:52:02.036973,2025-01-14 18:51:10.036973,2025-01-14 18:43:07.154131,18,24.161,4.142,False,12.49,30.751,24.96,0,84.71,4,0.0,6.59
R000,Spice Junction,T3,False,1,18,2025-01-14 18:57:11,2025-01-14 19:20:22.880000000,2025-01-14 19:29:57.268980,2025-01-14 19:28:30.268980,2025-01-14 19:18:45.386078,18,23.198,3.609,False,12.49,31.321,25.21,0,84.15,1,0.0,8.123
R000,Spice Junction,T3,False,1,19,2025-01-14 19:19:32,2025-01-14 19:46:54.800000000,2025-01-14 19:51:00.360990,2025-01-14 19:50:06.360990,2025-01-14 19:47:26.345600,18,27.38,6.2,False,12.49,30.573,57.49,0,100.0,5,0.0,3.193
R000,Spice Junction,T3,False,1,19,2025-01-14 19:47:47,2025-01-14 20:10:10.940000000,2025-01-14 20:14:25.442190,2025-01-14 20:13:45.442190,2025-01-14 20:10:42.269942,18,22.399,2.736,False,12.49,25.974,28.38,0,100.0,0,0.0,3.575
R000,Spice Junction,T3,False,1,20,2025-01-14 20:50:47,2025-01-14 21:17:03.260000000,2025-01-14 21:18:10.952728,2025-01-14 21:17:34.952728,2025-01-14 21:16:16.129579,18,26.271,6.06,True,12.49,26.799,44.73,0,100.0,3,0.0,0.528
R000,Spice Junction,T3,False,2,6,2025-01-15 06:30:39,2025-01-15 06:50:01.020000000,2025-01-15 06:59:35.556262,2025-01-15 06:59:11.556262,2025-01-15 06:53:58.676700,18,19.367,0.91,False,12.49,28.543,21.96,0,39.91,2,0.0,9.176
R000,Spice Junction,T3,False,2,7,2025-01-15 07:32:42,2025-01-15 07:52:13.800000000,2025-01-15 08:04:18.279586,2025-01-15 08:03:21.279586,2025-01-15 07:52:32.490079,18,19.53,1.299,False,12.49,30.655,20.49,0,59.53,3,0.0,11.125
R000,Spice Junction,T3,False,2,7,2025-01-15 07:48:15,2025-01-15 08:05:39.720000000,2025-01-15 08:15:25.596648,2025-01-15 08:14:31.596648,2025-01-15 08:07:34.953826,18,17.412,0.0,False,12.49,26.277,11.65,0,52.05,0,0.0,8.865
R000,Spice Junction,T3,False,2,9,2025-01-15 09:44:24,2025-01-15 10:07:39.780000000,2025-01-15 10:15:38.240612,2025-01-15 10:14:20.240612,2025-01-15 10:08:58.213275,18,23.263,3.435,False,12.49,29.937,41.84,0,64.89,3,0.0,6.674
R000,Spice Junction,T3,False,2,10,2025-01-15 10:12:09,2025-01-15 10:36:50.580000000,2025-01-15 10:42:57.652735,2025-01-15 10:42:39.652735,2025-01-15 10:35:27.667652,18,24.693,4.632,False,12.49,30.511,31.46,0,35.76,0,0.0,5.818
R000,Spice Junction,T3,False,2,13,2025-01-15 13:09:41,2025-01-15 13:36:23.540000000,2025-01-15 13:39:30.742093,2025-01-15 13:39:15.742093,2025-01-15 13:37:18.011744,18,26.709,5.684,True,12.49,29.579,30.89,0,100.0,1,0.0,2.87
R000,Spice Junction,T3,False,2,13,2025-01-15 13:51:29,2025-01-15 14:24:19.040000000,2025-01-15 14:25:40.833165,2025-01-15 14:16:12.507152,2025-01-15 14:25:03.809551,18,32.834,9.95,True,12.49,24.725,57.8,0,100.0,4,8.109,8.109
